ID,JITSmart,JITFine,JITLine,LaPredict,DeeperJIT,Deeper,CC2Vec,Bic Action Type,Compatibility Errors,Intrinsic Errors,Location With Fixing Changes,Feature Interaction,Knowledge
1336,1,1,0,0,1,1,1,"refactor,fix",No,API Misuse,Same Location,0,编程知识; 项目知识
178,1,1,0,0,0,0,0,enhance,No,Business Error,Different Packages,0,领域知识：定时任务0 0 3 ? * 6什么意思;项目知识：getNextvalue 等接口的意思
104,1,0,0,0,1,1,1,enhance,Data Flow,No,Different Packages,0,项目知识：0 0 0 24/1 1/12 ? 啥意思
181,1,0,0,0,1,1,1,enhance,No,Business Error,Same Method,1,编程知识：map，字符串转整数；领域知识：日期解析
99,1,0,0,0,1,1,1,refactor,No,Business Error,Same Method,0,编程知识：if与while，list
128,0,0,0,0,0,0,1,enhance,No,Business Error,Same Location,0,编程知识：格式化字符串，接口实现；领域知识：cron表达式；项目知识：对缺省值的处理
400,0,0,0,0,0,1,0,enhance,No,Unchecked Null,Same Location,0,编程知识
425,0,0,0,0,0,1,0,enhance,Invocation,No,Same Package,1,项目知识：WriterAsOutputStream.close()之前的实现是什么
456,0,0,0,0,0,0,1,enhance,No,Business Error,Same Location,0,null
414,0,0,0,0,0,0,0,enhance,No,Business Error,Same Method,0,编程知识：继承，override，null，Collection
75,0,0,0,0,1,0,1,enhance,Data Flow,No,Same Class,1,编程知识；项目知识
589,1,0,0,0,0,1,1,enhance,Invocation,No,Same Class,1,编程知识；项目知识
41,0,0,0,0,0,0,1,fix,No,Unchecked Null,Same Location,1,1. GPT 序列化中的AfterFilter是要做什么;2. references 是什么对象；领域知识和项目知识
1562,0,0,0,0,0,0,0,enhance,Data Flow,No,Different Packages,1,1. 项目知识
432,0,0,0,0,0,0,0,fix,Data Flow,No,Different Packages,1,领域知识：ASM 调用方法原理;项目知识FiledInfo构造器干嘛的；fieldInfo 在后续如何使用
518,0,0,0,0,0,0,1,perf,No,Business Error,Same Method,0,领域知识：char 数字代表的字符;项目知识：scanFieldStringArray的两个类之间的关系，unclosed eorr 经常与bp 有关
487,0,0,0,0,1,0,1,perf,No,Business Error,Same Class,0,领域知识：ASM 调用方法原理;项目知识 ：_filter在干嘛
1552,1,0,0,0,0,1,0,enhance,No,API Misuse,Same Location,1,领域知识：mw.visitInsn(ACONST_NULL); DUB 指令啥意思;项目知识：这个逻辑是存到局部变量表，再取出来
550,0,0,0,0,0,1,0,enhance,No,Business Error,Same Location,0,编程知识；领域知识:get 后面的文本通常是Filed name 首字母大写后的名字
244,0,0,0,0,1,0,1,perf,No,Business Error,Same Location,0,"基本编程知识：Long 的最大值, long 溢出会如何？;项目知识：scanFieldLong会将 负数value转化为正数"
610,1,0,0,0,0,1,0,enhance,No,Business Error,Same Class,1,项目知识
593,0,0,0,0,0,0,0,enhance,No,Business Error,Same Method,0,领域知识：字节码数符号表示
368,0,0,0,0,1,0,1,fix,No,Cast Error,Same Location,1,编程知识
508,1,0,0,0,1,1,0,perf,No,Business Error,Same Method,0,ASM
577,1,1,0,0,1,1,1,perf,Invocation,No,Different Packages,1,ASM
96,0,0,0,0,1,0,1,fix,Invocation,No,Same Package,1,项目知识
356,1,0,0,0,0,1,0,perf,No,API Misuse,Same Location,1,项目知识：context 在整个方法中的生命周期
805,0,0,0,0,1,0,1,fix,No,Business Error,Same Package,1,项目知识
626,0,0,0,0,0,0,0,enhance,No,Business Error,Same Method,0,编程知识：转义；项目知识：JSON解析功能
82,0,0,0,0,1,0,1,fix,Data Flow,No,Different Packages,1,编程知识：中文字符表示；领域知识：反射获取Classname的API；项目知识：解析中文包
226,0,0,0,0,0,0,0,fix,No,Business Error,Same Method,1,领域知识：GLM理解和纳秒相关的操作与配置（包括为什么-10纳秒）
466,0,0,0,0,1,0,1,fix,Data Flow,No,Same Package,0,项目知识：GLM理解测试用例想测试对final字段的修改应无效；GLM理解bic cc是将类的公共字段信息添加到List以便序列化反序列化时使用；领域知识：GLM理解序列化/反序列化规则
310,0,0,0,0,1,0,1,fix,No,Unchecked Null,Same Class,0,编程知识：空指针
1770,0,0,0,0,0,0,0,perf,No,Business Error,Same Method,0,编程知识：int溢出（及溢出会变成负数）；领域知识：Float.parseFloat； 项目知识：GLM大致理解scanFieldFloat（）
182,0,0,0,0,1,1,1,perf,Data Flow,Business Error,Same Package,0,项目知识：1770bug经验（解析浮点数）;编程知识：Java 大整数除法误差（浮点数误差）
337,0,0,0,0,1,0,1,fix,No,Business Error,Same Method,0,领域知识：泛型擦除
448,0,0,0,0,1,0,1,enhance,No,Business Error,Same Method,0,基本编程知识
711,0,0,0,0,1,0,1,fix,Data Flow,No,Different Packages,0,ASM/JavaBean
1568,0,0,0,0,1,0,1,"fix,enhance",No,Business Error,Same Method,0,项目知识：应有的判断逻辑，其余无明显知识
233,0,0,0,0,1,0,1,enhance,No,Business Error,Same Method,0,领域知识：ISO8601编码及时区相关知识
154,0,0,0,0,1,0,1,enhance,No,Business Error,Same Method,0,编程知识：移位运算
603,0,0,0,0,1,0,1,enhance,No,Business Error,Same Method,0,基本编程知识；领域知识：序列化和反序列化项目知识：反序列化作为一个task要配套一个反序列化类
1,0,0,0,0,0,0,1,fix,Invocation,Uncaught Exception,Same Class,1,编程知识：异常和捕获；领域知识：反射和代理
200,1,0,0,0,1,0,1,fix,No,Business Error,Same Method,0,仅编程知识（删除了else分支，set millisecond在if不满足时就不执行了）
61,0,0,0,0,1,0,1,fix,Data Flow,No,Different Packages,1,编程知识（字符串replace）;领域知识（转义，@作为保留字符）
807,0,0,0,0,1,0,1,enhance,Data Flow,No,Same Class,0,编程知识: call flow，异常与捕获，volatile
1767,0,0,0,0,1,1,1,enhance,Invocation,No,Same Package,0,编程知识：大写转小写；项目知识：fastjson要求字段名大小写不敏感
208,0,0,0,0,1,0,1,enhance,Data Flow,No,Different Packages,1,编程知识：public，static等修饰符；项目知识：对日期和对其他数据类型（如整数）的解析
1575,0,0,0,0,1,0,1,enhance,Data Flow,No,Different Packages,0,编程知识：Map；领域知识：序列化和反序列化
